102/09/02,44.10
102/09/03,43.65
102/09/04,43.35
102/09/05,43.40
102/09/06,42.75
102/09/09,41.75
102/09/10,41.00
102/09/11,41.25
102/09/12,40.85
102/09/13,40.05
102/09/14,39.95
102/09/16,40.75
102/09/17,40.75
102/09/18,40.80
102/09/23,41.05
102/09/24,40.80
102/09/25,40.90
102/09/26,40.30
102/09/27,40.90
102/09/30,41.00
102/10/01,41.45
102/10/02,40.95
102/10/03,41.20
102/10/04,41.60
102/10/07,41.30
102/10/08,40.65
102/10/09,39.75
102/10/11,39.60
102/10/14,38.80
102/10/15,39.50
102/10/16,39.80
102/10/17,39.60
102/10/18,39.90
102/10/21,40.00
102/10/22,40.00
102/10/23,39.60
102/10/24,39.60
102/10/25,39.45
102/10/28,39.55
102/10/29,39.25
102/10/30,40.30
102/10/31,40.70
102/11/01,41.10
102/11/04,41.55
102/11/05,41.00
102/11/06,43.00
102/11/07,41.90
102/11/08,41.05
102/11/11,41.85
102/11/12,41.10
102/11/13,41.25
102/11/14,41.00
102/11/15,40.60
102/11/18,40.95
102/11/19,41.05
102/11/20,40.90
102/11/21,41.50
102/11/22,41.10
102/11/25,41.70
102/11/26,41.90
102/11/27,41.85
102/11/28,41.90
102/11/29,42.20
102/12/02,42.00
102/12/03,42.00
102/12/04,41.80
102/12/05,42.90
102/12/06,43.20
102/12/09,46.10
102/12/10,44.00
102/12/11,42.80
102/12/12,42.95
102/12/13,42.85
102/12/16,41.90
102/12/17,42.70
102/12/18,42.40
102/12/19,42.70
102/12/20,42.90
102/12/23,43.30
102/12/24,43.55
102/12/25,44.00
102/12/26,43.40
102/12/27,43.30
102/12/30,43.65
102/12/31,45.00
103/01/02,47.50
103/01/03,48.40
103/01/06,48.85
103/01/07,49.55
103/01/08,51.40
103/01/09,49.65
103/01/10,51.30
103/01/13,50.70
103/01/14,50.30
103/01/15,50.00
103/01/16,49.65
103/01/17,49.00
103/01/20,49.90
103/01/21,50.20
103/01/22,52.70
103/01/23,53.00
103/01/24,51.60
103/01/27,52.00
103/02/05,53.40
103/02/06,52.80
103/02/07,52.50
103/02/10,52.00
103/02/11,51.50
103/02/12,51.80
103/02/13,50.90
103/02/14,50.90
103/02/17,51.30
103/02/18,52.00
103/02/19,51.80
103/02/20,52.20
103/02/21,52.50
103/02/24,52.10
103/02/25,55.70
103/02/26,54.70
103/02/27,53.90
103/03/03,53.40
103/03/04,53.00
103/03/05,54.50
103/03/06,54.50
103/03/07,52.70
103/03/10,52.80
103/03/11,53.40
103/03/12,53.70
103/03/13,53.70
103/03/14,53.20
103/03/17,53.80
103/03/18,54.40
103/03/19,53.20
103/03/20,51.90
103/03/21,51.70
103/03/24,52.20
103/03/25,52.80
103/03/26,53.70
103/03/27,53.10
103/03/28,52.60
103/03/31,53.80
103/04/01,53.00
103/04/02,52.40
103/04/03,52.60
103/04/07,52.70
103/04/08,53.80
103/04/09,53.90
103/04/10,53.40
103/04/11,53.40
103/04/14,51.70
103/04/15,52.10
103/04/16,52.40
103/04/17,52.60
103/04/18,52.50
103/04/21,51.80
103/04/22,51.90
103/04/23,50.50
